kgds_p X,kgds_p Y,kcdg_p X,kcdg_p Y,kgmp X,kgmp Y,reff X,reff Y,kcsg_p X,kcsg_p Y
1e-09,-6370.103832372592,1e-09,1.499179332433185e-07,1e-09,-14.29924662497855,1e-09,157190.3281648537,1e-09,1.501871212879481e-07
1.084366e-09,-5873.827310487823,1.084366e-09,1.382536603129824e-07,1.084366e-09,-14.2998001114194,1.084366e-09,157225.7170094263,1.084366e-09,1.385228609887733e-07
1.17585e-09,-5416.162030311105,1.17585e-09,1.274968944551715e-07,1.17585e-09,-14.30040041143708,1.17585e-09,157264.1083562113,1.17585e-09,1.277661087537284e-07
1.275051e-09,-4994.103940096139,1.275051e-09,1.175770297591341e-07,1.275051e-09,-14.30105149532282,1.275051e-09,157305.7584976371,1.275051e-09,1.178462587427831e-07
1.382622e-09,-4604.882715918113,1.382622e-09,1.084289537884775e-07,1.382622e-09,-14.30175767198152,1.382622e-09,157350.9458760521,1.382622e-09,1.086981985939804e-07
1.499268e-09,-4245.943566084588,1.499268e-09,9.999261992077562e-08,1.499268e-09,-14.30252361816631,1.499268e-09,157399.9730473872,1.499268e-09,1.002618817629684e-07
1.625756e-09,-3914.930470681968,1.625756e-09,9.221265341832732e-08,1.625756e-09,-14.30335441025657,1.625756e-09,157453.168825088,1.625756e-09,9.248193359360829e-08
1.762914e-09,-3609.670703583982,1.762914e-09,8.503798764169206e-08,1.762914e-09,-14.3042555589019,1.762914e-09,157510.8906279962,1.762914e-09,8.530728753127114e-08
1.911644e-09,-3328.160589361525,1.911644e-09,7.84215292881958e-08,1.911644e-09,-14.30523304666805,1.911644e-09,157573.5270444457,1.911644e-09,7.869085036099104e-08
2.072922e-09,-3060.131810563076,2.072922e-09,7.212192860547943e-08,2.072922e-09,-14.30632976950663,2.072922e-09,157643.8736976979,2.072922e-09,7.239127318257078e-08
2.247806e-09,-2820.719585374278,2.247806e-09,6.64949329420905e-08,2.247806e-09,-14.3074864172875,2.247806e-09,157718.0651271589,2.247806e-09,6.676430203609689e-08
2.437444e-09,-2599.93358537832,2.437444e-09,6.130572680644563e-08,2.437444e-09,-14.30874175494861,2.437444e-09,157798.62851772,2.437444e-09,6.157512218001103e-08
2.643081e-09,-2396.324602075954,2.643081e-09,5.652024905089975e-08,2.643081e-09,-14.31010430565873,2.643081e-09,157886.121588664,2.643081e-09,5.67896725618262e-08
2.866068e-09,-2208.556176772497,2.866068e-09,5.210708861137378e-08,2.866068e-09,-14.31158334691254,2.866068e-09,157981.1527417842,2.866068e-09,5.237654221129576e-08
3.107866e-09,-2035.395824499448,3.107866e-09,4.803727824376594e-08,3.107866e-09,-14.31318898056966,3.107866e-09,158084.3860022534,3.107866e-09,4.83067639750875e-08
3.370064e-09,-1875.70694607577,3.370064e-09,4.428410443494936e-08,3.370064e-09,-14.31493220993157,3.370064e-09,158196.5464976435,3.370064e-09,4.455362442561615e-08
3.654383e-09,-1728.441365550053,3.654383e-09,4.082293201343155e-08,3.654383e-09,-14.31682502475095,3.654383e-09,158318.4265491866,3.654383e-09,4.109248846902835e-08
3.962689e-09,-1592.632452867319,3.962689e-09,3.763104251597326e-08,3.962689e-09,-14.31888049500625,3.962689e-09,158450.8924495265,3.962689e-09,3.790063770853702e-08
4.297005e-09,-1467.388777327668,4.297005e-09,3.468748503098454e-08,4.297005e-09,-14.32111287460257,4.297005e-09,158594.8920259484,4.297005e-09,3.495712128380961e-08
