kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
5e-08,-1.010108436396397e-08,5e-08,1.792438723448714e-05,5e-08,-7.626027332433324e-09,5e-08,2731452.948262938,5e-08,26.67732347143355,5e-08,6.718960113701372e-07,5e-08,0.5448841979710343
5.526049e-08,-9.203850860674093e-09,5.526049e-08,1.969373367186934e-05,5.526049e-08,-6.924958332031873e-09,5.526049e-08,2483828.33756026,5.526049e-08,26.60661096509573,5.526049e-08,7.401819682222907e-07,5.526049e-08,0.5439261285732281
6.107444e-08,-8.400796291732755e-09,6.107444e-08,2.160216651316639e-05,6.107444e-08,-6.298223453547821e-09,6.107444e-08,2262335.096251305,6.107444e-08,26.53417767369677,6.107444e-08,8.141260972477977e-07,6.107444e-08,0.5429394399269178
6.750007e-08,-7.66325225073084e-09,6.750007e-08,2.371243890078392e-05,6.750007e-08,-5.723335779839028e-09,6.750007e-08,2059042.546890053,6.750007e-08,26.45811165328119,6.750007e-08,8.962256721689822e-07,6.750007e-08,0.5418976894392155
7.460175e-08,-6.991637918655836e-09,7.460175e-08,2.602756435458312e-05,7.460175e-08,-5.200535401062585e-09,7.460175e-08,1874048.453823501,7.460175e-08,26.37889122897202,7.460175e-08,9.866815147255683e-07,7.460175e-08,0.5408068609997723
8.245059e-08,-6.378754577902408e-09,8.245059e-08,2.857308373615442e-05,8.245059e-08,-4.724129354216952e-09,8.245059e-08,1705352.456342879,8.245059e-08,26.29622572162802,8.245059e-08,1.086584973776436e-06,8.245059e-08,0.5396623919622029
9.11252e-08,-5.816688152364482e-09,9.11252e-08,3.138804817112725e-05,9.11252e-08,-4.287888339702176e-09,9.11252e-08,1550761.495529821,9.11252e-08,26.2095126522748,9.11252e-08,1.197582289589157e-06,9.11252e-08,0.5384552626841386
1.007125e-07,-5.32155868285016e-09,1.007125e-07,3.437054605902879e-05,1.007125e-07,-3.904216078506584e-09,1.007125e-07,1414689.796676021,1.007125e-07,26.12232623699084,1.007125e-07,1.315753648706751e-06,1.007125e-07,0.5372348728718819
1.113084e-07,-4.86129962566717e-09,1.113084e-07,3.770001886242554e-05,1.113084e-07,-3.548172324114408e-09,1.113084e-07,1288308.624639257,1.113084e-07,26.02995454572898,1.113084e-07,1.448332105082811e-06,1.113084e-07,0.5359347628674476
1.230192e-07,-4.44145057356837e-09,1.230192e-07,4.135352409638084e-05,1.230192e-07,-3.22398872409804e-09,1.230192e-07,1173130.087067112,1.230192e-07,25.93383374835312,1.230192e-07,1.5945781290052e-06,1.230192e-07,0.5345742357125791
1.35962e-07,-4.056414216575369e-09,1.35962e-07,4.538623302717488e-05,1.35962e-07,-2.927279084608769e-09,1.35962e-07,1067608.120713855,1.35962e-07,25.8332738599775,1.35962e-07,1.756890484465077e-06,1.35962e-07,0.5331426677475231
1.502665e-07,-3.714640104505912e-09,1.502665e-07,4.968580869906462e-05,1.502665e-07,-2.664469054459106e-09,1.502665e-07,974044.2303952473,1.502665e-07,25.73163010391082,1.502665e-07,1.930923478163676e-06,1.502665e-07,0.5316872655042124
1.66076e-07,-3.398280575324157e-09,1.66076e-07,5.445954985263852e-05,1.66076e-07,-2.42175829575176e-09,1.66076e-07,887540.1135810722,1.66076e-07,25.62463982841409,1.66076e-07,2.125280597788173e-06,1.66076e-07,0.5301462964836806
1.835489e-07,-3.108998207732539e-09,1.835489e-07,5.970233438813396e-05,1.835489e-07,-2.200375207211595e-09,1.835489e-07,808543.4598304267,1.835489e-07,25.51332618487728,1.835489e-07,2.340045118206571e-06,1.835489e-07,0.5285333551935476
2.0286e-07,-2.848268746601673e-09,2.0286e-07,6.537129478763847e-05,2.0286e-07,-2.001380634144338e-09,2.0286e-07,737446.3853023503,2.0286e-07,25.39930812145521,2.0286e-07,2.573743130129528e-06,2.0286e-07,0.5268710649866976
2.242029e-07,-2.609066057528734e-09,2.242029e-07,7.160492444231072e-05,2.242029e-07,-1.819347214144856e-09,2.242029e-07,672322.7186704429,2.242029e-07,25.28055359573566,2.242029e-07,2.832411251246851e-06,2.242029e-07,0.5251288785806838
2.477912e-07,-2.390332428183761e-09,2.477912e-07,7.843908970317804e-05,2.477912e-07,-1.65341874035301e-09,2.477912e-07,612876.7779846464,2.477912e-07,25.15728992776969,2.477912e-07,3.117946723529772e-06,2.477912e-07,0.5233089274790041
2.738613e-07,-2.192481171323615e-09,2.738613e-07,8.584285315339589e-05,2.738613e-07,-1.503846712765859e-09,2.738613e-07,559210.8909983386,2.738613e-07,25.03086585530919,2.738613e-07,3.429479972830749e-06,2.738613e-07,0.5214301124685717
3.026742e-07,-2.011133308505948e-09,3.026742e-07,9.396285606100509e-05,3.026742e-07,-1.367260810563598e-09,3.026742e-07,510127.5111833785,3.026742e-07,24.8996027531849,3.026742e-07,3.773668881082303e-06,3.026742e-07,0.5194664023167456
3.345185e-07,-1.845336169792553e-09,3.345185e-07,0.0001028449875060593,3.345185e-07,-1.242892851132863e-09,3.345185e-07,465360.6938451538,3.345185e-07,24.76370981001396,3.345185e-07,4.153052523029921e-06,3.345185e-07,0.5174196026121161
