kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
5e-08,-1.443817661537322e-08,5e-08,1.251286593208779e-05,5e-08,-1.226638989394748e-08,5e-08,3000326.722820801,5e-08,26.82407564921319,5e-08,4.664789234761506e-07,5e-08,0.7144953779844693
5.526049e-08,-1.314265579584673e-08,5.526049e-08,1.375918928015249e-05,5.526049e-08,-1.114148706501768e-08,5.526049e-08,2725312.432095384,5.526049e-08,26.75998930295638,5.526049e-08,5.141702085296577e-07,5.526049e-08,0.7136360702071322
6.107444e-08,-1.198361634554682e-08,6.107444e-08,1.510512737139893e-05,6.107444e-08,-1.013540368050472e-08,6.107444e-08,2479457.870906284,6.107444e-08,26.69430062194036,6.107444e-08,5.658558950588819e-07,6.107444e-08,0.7127503213898418
6.750007e-08,-1.091961029167029e-08,6.750007e-08,1.659530483057926e-05,6.750007e-08,-9.212143335740867e-09,6.750007e-08,2253938.492131291,6.750007e-08,26.62526888532657,6.750007e-08,6.232915394039489e-07,6.750007e-08,0.7118142988623404
7.460175e-08,-9.951187433856333e-09,7.460175e-08,1.823231500658198e-05,7.460175e-08,-8.372171415610255e-09,7.460175e-08,2048845.786290813,7.460175e-08,26.55331974352323,7.460175e-08,6.866303416177984e-07,7.460175e-08,0.7108332569868326
8.245059e-08,-9.067909830966974e-09,8.245059e-08,2.003473555387726e-05,8.245059e-08,-7.60641710622028e-09,8.245059e-08,1861944.425535499,8.245059e-08,26.4781806226865,8.245059e-08,7.566507623530409e-07,8.245059e-08,0.7098029693294816
9.11252e-08,-8.258320891886928e-09,9.11252e-08,2.20308452627167e-05,9.11252e-08,-6.904932951848475e-09,9.11252e-08,1690789.03391019,9.11252e-08,26.39929404340769,9.11252e-08,8.34524030320354e-07,9.11252e-08,0.7087151730337878
1.007125e-07,-7.545567116850737e-09,1.007125e-07,2.414891869698076e-05,1.007125e-07,-6.287736458501638e-09,1.007125e-07,1540245.801306992,1.007125e-07,26.31990524999354,1.007125e-07,9.175154115338878e-07,1.007125e-07,0.7076142962482379
1.113084e-07,-6.883425002544318e-09,1.113084e-07,2.651706315093859e-05,1.113084e-07,-5.714767601117711e-09,1.113084e-07,1400528.806921545,1.113084e-07,26.23571600750379,1.113084e-07,1.010723821806667e-06,1.113084e-07,0.7064402770576892
1.230192e-07,-6.279826733802102e-09,1.230192e-07,2.911991088881837e-05,1.230192e-07,-5.192877711831621e-09,1.230192e-07,1273298.224397197,1.230192e-07,26.14802338141709,1.230192e-07,1.113656296847024e-06,1.230192e-07,0.7052103694141568
1.35962e-07,-5.726680135542466e-09,1.35962e-07,3.199780123384831e-05,1.35962e-07,-4.715047416380012e-09,1.35962e-07,1156832.885094329,1.35962e-07,26.056186972,1.35962e-07,1.22803084228069e-06,1.35962e-07,0.7039148055913856
1.502665e-07,-5.23606378005883e-09,1.502665e-07,3.507151398848952e-05,1.502665e-07,-4.291668019698795e-09,1.502665e-07,1053656.325654697,1.502665e-07,25.96326407437618,1.502665e-07,1.350812975133681e-06,1.502665e-07,0.7025962017144179
1.66076e-07,-4.782303189634371e-09,1.66076e-07,3.849038780834285e-05,1.66076e-07,-3.900544265205634e-09,1.66076e-07,958352.085848092,1.66076e-07,25.86535008967998,1.66076e-07,1.488106199022612e-06,1.66076e-07,0.7011985054139581
1.835489e-07,-4.367748067367655e-09,1.835489e-07,4.225232208479852e-05,1.835489e-07,-3.543682242603998e-09,1.835489e-07,871403.2868407477,1.835489e-07,25.76336956923794,1.835489e-07,1.640015370320533e-06,1.835489e-07,0.6997338569855446
2.0286e-07,-3.994463780762519e-09,2.0286e-07,4.632806297368653e-05,2.0286e-07,-3.22281973792848e-09,2.0286e-07,793228.3500987664,2.0286e-07,25.65879855269618,2.0286e-07,1.805542955510614e-06,2.0286e-07,0.6982226729693075
2.242029e-07,-3.652343960321871e-09,2.242029e-07,5.081892256682719e-05,2.242029e-07,-2.929229557307726e-09,2.242029e-07,721697.0216700645,2.242029e-07,25.54976656340823,2.242029e-07,1.989017098872787e-06,2.242029e-07,0.6966370533030556
2.477912e-07,-3.339837509040766e-09,2.477912e-07,5.575291129696871e-05,2.477912e-07,-2.66155001315974e-09,2.477912e-07,656474.4349204592,2.477912e-07,25.43647401139432,2.477912e-07,2.191849046058588e-06,2.477912e-07,0.6949787750425099
2.738613e-07,-3.057489840221915e-09,2.738613e-07,6.110992908097902e-05,2.738613e-07,-2.420204885609715e-09,2.738613e-07,597661.6055685877,2.738613e-07,25.32015591466448,2.738613e-07,2.413489446389485e-06,2.738613e-07,0.6932649419823387
3.026742e-07,-2.799008335468752e-09,3.026742e-07,6.699864813016999e-05,3.026742e-07,-2.199771383344479e-09,3.026742e-07,543935.5147780547,3.026742e-07,25.19926431663295,3.026742e-07,2.65875413219691e-06,3.026742e-07,0.6914716935579092
3.345185e-07,-2.562997620382221e-09,3.345185e-07,7.345547234549023e-05,3.345185e-07,-1.999022320052089e-09,3.345185e-07,494995.9728282366,3.345185e-07,25.07398807856211,3.345185e-07,2.929548826271222e-06,3.345185e-07,0.6896005412088508
