kcsg_p X,kcsg_p Y,kgmp X,kgmp Y,kgds_p X,kgds_p Y,kcgd_n X,kcgd_n Y,kcgs_n X,kcgs_n Y,kgds_n X,kgds_n Y,kgmn X,kgmn Y
1e-09,1.1436037991205e-07,1e-09,-27.88868421267988,1e-09,-0.6681169493431537,1e-09,-6.535070909836862e-07,1e-09,-7.893233101866729e-07,1e-09,0.6194289558870361,1e-09,28.08540682912369
1.149757e-09,9.960503372059369e-08,1.149757e-09,-27.82717194929405,1.149757e-09,-0.6630019217659454,1.149757e-09,-5.686298360322179e-07,1.149757e-09,-6.869765696923256e-07,1.149757e-09,0.6192603309196573,1.149757e-09,28.06800078085655
1.321941e-09,8.684820501234287e-08,1.321941e-09,-27.76210834354042,1.321941e-09,-0.6591680380377956,1.321941e-09,-4.948706743930464e-07,1.321941e-09,-5.980080303221314e-07,1.321941e-09,0.6190830573410351,1.321941e-09,28.04981552292584
1.519911e-09,7.563803658141143e-08,1.519911e-09,-27.69276663146006,1.519911e-09,-0.6539446196301354,1.519911e-09,-4.306093637313045e-07,1.519911e-09,-5.204726673913738e-07,1.519911e-09,0.6188959446122944,1.519911e-09,28.03074403455595
1.747528e-09,6.588354921910225e-08,1.747528e-09,-27.61916427939688,1.747528e-09,-0.6488441027765972,1.747528e-09,-3.747067158703481e-07,1.747528e-09,-4.53003638512579e-07,1.747528e-09,0.6186984527841444,1.747528e-09,28.01074682437637
2.009233e-09,5.737259570907035e-08,2.009233e-09,-27.54093646865707,2.009233e-09,-0.643418702794945,2.009233e-09,-3.260533135208611e-07,2.009233e-09,-3.942683419638829e-07,2.009233e-09,0.6184896429507962,2.009233e-09,27.98974450684828
2.31013e-09,4.999859113504463e-08,2.31013e-09,-27.4580862342651,2.31013e-09,-0.6387663161843019,2.31013e-09,-2.837517753631063e-07,2.31013e-09,-3.431886814924261e-07,2.31013e-09,0.6182688361636803,2.31013e-09,27.96768470845846
2.656088e-09,4.36094683976158e-08,2.656088e-09,-27.37043093926179,2.656088e-09,-0.6348637276427564,2.656088e-09,-2.4698641990461e-07,2.656088e-09,-2.987840315610447e-07,2.656088e-09,0.618035211834716,2.656088e-09,27.94450190989122
3.053856e-09,3.796421097177638e-08,3.053856e-09,-27.27672513656866,3.053856e-09,-0.6289428121314787,3.053856e-09,-2.148986126286207e-07,3.053856e-09,-2.600208245095467e-07,3.053856e-09,0.6177867071644429,3.053856e-09,27.92000720004712
3.511192e-09,3.312700519702829e-08,3.511192e-09,-27.1781382870945,3.511192e-09,-0.6253091143967965,3.511192e-09,-1.870533640264839e-07,3.511192e-09,-2.263764277131721e-07,3.511192e-09,0.6175236066635001,3.511192e-09,27.89424767353691
4.037017e-09,2.887713221474547e-08,4.037017e-09,-27.07321041733966,4.037017e-09,-0.6204622747170071,4.037017e-09,-1.627908921982408e-07,4.037017e-09,-1.970559809202451e-07,4.037017e-09,0.6172437124821833,4.037017e-09,27.86702538377034
4.641589e-09,2.515765265108145e-08,4.641589e-09,-26.96171919068517,4.641589e-09,-0.6148329762783953,4.641589e-09,-1.416628704936655e-07,4.641589e-09,-1.715195569674116e-07,4.641589e-09,0.6169457317174598,4.641589e-09,27.83824312313326
5.336699000000001e-09,2.196215812320597e-08,5.336699000000001e-09,-26.84444056762016,5.336699000000001e-09,-0.6110895217224198,5.336699000000001e-09,-1.233126343542583e-07,5.336699000000001e-09,-1.493375472548084e-07,5.336699000000001e-09,0.6166294206985766,5.336699000000001e-09,27.80786904139122
6.135907e-09,1.91404113132594e-08,6.135907e-09,-26.71944724402351,6.135907e-09,-0.6054249560560181,6.135907e-09,-1.073095547546103e-07,6.135907e-09,-1.29990637078197e-07,6.135907e-09,0.6162915126665038,6.135907e-09,27.77565805959129
7.054802e-09,1.670105073626626e-08,7.054802e-09,-26.58767912540326,7.054802e-09,-0.6006756065611937,7.054802e-09,-9.335482758696647e-08,7.054802e-09,-1.131187634768115e-07,7.054802e-09,0.6159263597909229,7.054802e-09,27.74146449780386
8.111308e-09,1.457684344128146e-08,8.111308e-09,-26.44837505308537,8.111308e-09,-0.5959328851506741,8.111308e-09,-8.126276409738441e-08,8.111308e-09,-9.849749055807332e-08,8.111308e-09,0.6155441907526851,8.111308e-09,27.70537197936562
9.326033000000001e-09,1.27327138441434e-08,9.326033000000001e-09,-26.30146051871165,9.326033000000001e-09,-0.5915966506523271,9.326033000000001e-09,-7.076296544840009e-08,9.326033000000001e-09,-8.580069790373231e-08,9.326033000000001e-09,0.6151401624684808,9.326033000000001e-09,27.66719910933132
1.072267e-08,1.112442267777018e-08,1.072267e-08,-26.14628797934204,1.072267e-08,-0.5870421788263745,1.072267e-08,-6.159812534899304e-08,1.072267e-08,-7.471799644602901e-08,1.072267e-08,0.6147039348167266,1.072267e-08,27.62659606444912
1.232847e-08,9.712857335834023e-09,1.232847e-08,-25.98167911431245,1.232847e-08,-0.5816407846805648,1.232847e-08,-5.355746081262693e-08,1.232847e-08,-6.499489911826307e-08,1.232847e-08,0.6142260864109962,1.232847e-08,27.58312006363652
1.417474e-08,8.486055761798257e-09,1.417474e-08,-25.80830890016703,1.417474e-08,-0.5760845168694819,1.417474e-08,-4.666231046593726e-08,1.417474e-08,-5.66564742866136e-08,1.417474e-08,0.6137392673866011,1.417474e-08,27.53761243327987
1.629751e-08,7.423316607215633e-09,1.629751e-08,-25.62577751879547,1.629751e-08,-0.5713425671048487,1.629751e-08,-4.061831983062915e-08,1.629751e-08,-4.934783420804466e-08,1.629751e-08,0.6132077792480641,1.629751e-08,27.4889595421121
1.873817e-08,6.495150772425732e-09,1.873817e-08,-25.43297142554014,1.873817e-08,-0.5661917932476745,1.873817e-08,-3.535688057983421e-08,1.873817e-08,-4.298580006814349e-08,1.873817e-08,0.6126395331333915,1.873817e-08,27.43724762586169
2.154435e-08,5.690404095920179e-09,2.154435e-08,-25.23012125895287,2.154435e-08,-0.5615334169223598,2.154435e-08,-3.078144081712925e-08,2.154435e-08,-3.745364293449306e-08,2.154435e-08,0.6120328890188168,2.154435e-08,27.3823339534297
2.477076e-08,4.985103092161993e-09,2.477076e-08,-25.01526519963669,2.477076e-08,-0.5561865152488791,2.477076e-08,-2.679454115459501e-08,2.477076e-08,-3.263351413302487e-08,2.477076e-08,0.6113840034811251,2.477076e-08,27.32389394121932
2.848036e-08,4.369900864494079e-09,2.848036e-08,-24.7881289542889,2.848036e-08,-0.5506146004218634,2.848036e-08,-2.332435799912971e-08,2.848036e-08,-2.843854190230257e-08,2.848036e-08,0.6106906687013265,2.848036e-08,27.26175960804868
3.274549e-08,3.833282297382859e-09,3.274549e-08,-24.54778486066765,3.274549e-08,-0.5448199734843289,3.274549e-08,-2.030393178497538e-08,3.274549e-08,-2.478771895923085e-08,3.274549e-08,0.6099500050521017,3.274549e-08,27.19569789225394
3.764936e-08,3.365174927422306e-09,3.764936e-08,-24.29317087354938,3.764936e-08,-0.5388056892033594,3.764936e-08,-1.767491448370081e-08,3.764936e-08,-2.161043998403879e-08,3.764936e-08,0.6091590156471421,3.764936e-08,27.12546465727774
4.328761e-08,2.956869594610899e-09,4.328761e-08,-24.02312999451766,4.328761e-08,-0.5325995252224089,4.328761e-08,-1.538663058296784e-08,4.328761e-08,-1.884536979004079e-08,4.328761e-08,0.6083146563846238,4.328761e-08,27.05080984890576
4.977024000000001e-08,2.601120574921103e-09,4.977024000000001e-08,-23.73658903991178,4.977024000000001e-08,-0.5263577425307183,4.977024000000001e-08,-1.339523183467836e-08,4.977024000000001e-08,-1.643942381338726e-08,4.977024000000001e-08,0.6074139717121361,4.977024000000001e-08,26.97148801073588
5.722368000000001e-08,2.292551920771416e-09,5.722368000000001e-08,-23.43321026175989,5.722368000000001e-08,-0.5205877718760908,5.722368000000001e-08,-1.166403341109083e-08,5.722368000000001e-08,-1.434817510016435e-08,5.722368000000001e-08,0.6064549851784589,5.722368000000001e-08,26.88733617676589
6.579332e-08,2.02066331878764e-09,6.579332e-08,-23.10853895741205,6.579332e-08,-0.5137858235047337,6.579332e-08,-1.01542323826898e-08,6.579332e-08,-1.252464341229258e-08,6.579332e-08,0.6054314711655918,6.579332e-08,26.79780686854435
