kcdg_p X,kcdg_p Y,kcgs_n X,kcgs_n Y,reff X,reff Y,gm_n X,gm_n Y,kgds_p X,kgds_p Y,gm_n2 X,gm_n2 Y,kgmp X,kgmp Y,kgmn X,kgmn Y,kcgd_n X,kcgd_n Y,reff_2 X,reff_2 Y,kcsg_p X,kcsg_p Y,kgds_n X,kgds_n Y
1e-09,1.051247168945736e-07,1e-09,-7.893233101866403e-07,1e-09,777484064.3081241,1e-09,2.804094446947293e-08,1e-09,-0.6681169493430807,1e-09,2.80409511091051e-08,1e-09,-27.88868421267982,1e-09,28.08540682912365,1e-09,-6.535070909836592e-07,1e-09,35876454.49659888,1e-09,1.14360379912041e-07,1e-09,0.6194289558870354
1.149757e-09,9.14267120510353e-08,1.149757e-09,-6.86976569692297e-07,1.149757e-09,678914008.9663799,1.149757e-09,3.222694118778432e-08,1.149757e-09,-0.6630019217657966,1.149757e-09,3.222694712062827e-08,1.149757e-09,-27.827171949294,1.149757e-09,28.06800078085652,1.149757e-09,-5.686298360321942e-07,1.149757e-09,31270523.02400017,1.149757e-09,9.96050337205793e-08,1.149757e-09,0.6192603309196568
1.321941e-09,7.964740446176064e-08,1.321941e-09,-5.980080303231553e-07,1.321941e-09,592549122.7414546,1.321941e-09,3.702997523940913e-08,1.321941e-09,-0.6591680380417286,1.321941e-09,3.706017650654565e-08,1.321941e-09,-27.76210834354175,1.321941e-09,28.04981552292604,1.321941e-09,-4.948706743938951e-07,1.321941e-09,27287710.22341121,1.321941e-09,8.684820501273466e-08,1.321941e-09,0.6190830573410367
1.519911e-09,6.92470804130876e-08,1.519911e-09,-5.2047266739266e-07,1.519911e-09,517455686.8938243,1.519911e-09,4.255472764983707e-08,1.519911e-09,-0.6539446196374585,1.519911e-09,4.258276623897224e-08,1.519911e-09,-27.69276663146232,1.519911e-09,28.0307440345564,1.519911e-09,-4.306093637323704e-07,1.519911e-09,23786747.67396323,1.519911e-09,7.563803658200013e-08,1.519911e-09,0.6188959446122987
1.747528e-09,6.020962253788829e-08,1.747528e-09,-4.530036385125628e-07,1.747528e-09,451863298.335893,1.747528e-09,4.890066243947047e-08,1.747528e-09,-0.6488441027767298,1.747528e-09,4.892686518172652e-08,1.747528e-09,-27.61916427939689,1.747528e-09,28.01074682437635,1.747528e-09,-3.747067158703347e-07,1.747528e-09,20739376.82559291,1.747528e-09,6.588354921910753e-08,1.747528e-09,0.6186984527841441
2.009233e-09,5.232179232589274e-08,2.009233e-09,-3.94268341963661e-07,2.009233e-09,394640827.3598783,2.009233e-09,5.619275074969005e-08,2.009233e-09,-0.6434187027914062,2.009233e-09,5.619986521650148e-08,2.009233e-09,-27.54093646865618,2.009233e-09,27.9897445068482,2.009233e-09,-3.260533135206774e-07,2.009233e-09,18079382.78298003,2.009233e-09,5.737259570888372e-08,2.009233e-09,0.6184896429507954
2.31013e-09,4.551617719634121e-08,2.31013e-09,-3.431886814922143e-07,2.31013e-09,344567302.4920035,2.31013e-09,6.456240814845462e-08,2.31013e-09,-0.6387663161829179,2.31013e-09,6.457815786152977e-08,2.31013e-09,-27.45808623426449,2.31013e-09,27.96768470845823,2.31013e-09,-2.83751775362931e-07,2.31013e-09,15773652.35240261,2.31013e-09,4.99985911349623e-08,2.31013e-09,0.6182688361636774
2.656088e-09,3.96427846092294e-08,2.656088e-09,-2.987840315607229e-07,2.656088e-09,300788300.0206652,2.656088e-09,7.416179420461078e-08,2.656088e-09,-0.6348637276401868,2.656088e-09,7.422960814667821e-08,2.656088e-09,-27.37043093926056,2.656088e-09,27.94450190989108,2.656088e-09,-2.469864199043436e-07,2.656088e-09,13774790.48213863,2.656088e-09,4.360946839748026e-08,2.656088e-09,0.6180352118347148
3.053856e-09,3.441314489282392e-08,3.053856e-09,-2.600208245095491e-07,3.053856e-09,262745827.5696573,3.053856e-09,8.521944453515204e-08,3.053856e-09,-0.6289428121315084,3.053856e-09,8.521945608118966e-08,3.053856e-09,-27.27672513656867,3.053856e-09,27.92000720004705,3.053856e-09,-2.148986126286227e-07,3.053856e-09,12007382.25733492,3.053856e-09,3.796421097177748e-08,3.053856e-09,0.6177867071644423
3.511192e-09,2.998237277187014e-08,3.511192e-09,-2.263764277131856e-07,3.511192e-09,229332187.223061,3.511192e-09,9.788336654164409e-08,3.511192e-09,-0.6253091143969206,3.511192e-09,9.796927839263519e-08,3.511192e-09,-27.17813828709458,3.511192e-09,27.89424767353691,3.511192e-09,-1.870533640264951e-07,3.511192e-09,10491934.42118995,3.511192e-09,3.312700519703387e-08,3.511192e-09,0.6175236066634996
4.037017e-09,2.607125520480695e-08,4.037017e-09,-1.970559809202871e-07,4.037017e-09,200266812.6203818,4.037017e-09,1.124417809229097e-07,4.037017e-09,-0.6204622747173812,4.037017e-09,1.125292476778175e-07,4.037017e-09,-27.07321041733992,4.037017e-09,27.86702538377037,4.037017e-09,-1.627908921982755e-07,4.037017e-09,9159308.083333772,4.037017e-09,2.887713221476036e-08,4.037017e-09,0.6172437124821837
4.641589e-09,2.264058669908103e-08,4.641589e-09,-1.715195569673862e-07,4.641589e-09,174945669.5580804,4.641589e-09,1.291709538627072e-07,4.641589e-09,-0.6148329762784079,4.641589e-09,1.291709487627003e-07,4.641589e-09,-26.96171919068516,4.641589e-09,27.83824312313319,4.641589e-09,-1.416628704936443e-07,4.641589e-09,7991845.84849066,4.641589e-09,2.515765265108156e-08,4.641589e-09,0.6169457317174576
