kcgd_n X,kcgd_n Y
1e-09,-6.478860834211151e-07
1.013925e-09,-6.381162843193497e-07
1.028045e-09,-6.299226534922175e-07
1.042361e-09,-6.215713945566746e-07
1.056876e-09,-6.124599195018516e-07
1.071593e-09,-6.047341352955134e-07
1.086516e-09,-5.963168034352223e-07
1.101646e-09,-5.871042977485923e-07
1.116987e-09,-5.802154982985122e-07
1.132541e-09,-5.71864881320029e-07
1.148312e-09,-5.644625586301889e-07
1.164303e-09,-5.565518769288009e-07
1.180517e-09,-5.491220484699034e-07
1.196956e-09,-5.415897421129422e-07
1.213624e-09,-5.330773117503374e-07
1.230524e-09,-5.268811478812578e-07
1.24766e-09,-5.18749860098888e-07
1.265034e-09,-5.124723380463764e-07
1.28265e-09,-5.054711079958954e-07
1.300511e-09,-4.982361745486553e-07
1.318621e-09,-4.916802792285259e-07
1.336984e-09,-4.849373933459641e-07
1.355602e-09,-4.780264622004029e-07
1.374479e-09,-4.718772657102454e-07
1.393619e-09,-4.652640930273385e-07
1.413026e-09,-4.590311371520608e-07
1.432703e-09,-4.52735759691383e-07
1.452654e-09,-4.465580557894815e-07
1.472883e-09,-4.404246264419243e-07
1.493393e-09,-4.344129416104531e-07
1.514189e-09,-4.284917694692802e-07
1.535275e-09,-4.226229071921978e-07
1.556654e-09,-4.159472719659337e-07
1.578331e-09,-4.1053178227863e-07
1.60031e-09,-4.055055411223189e-07
1.622595e-09,-3.996629373601708e-07
1.645191e-09,-3.936215839796649e-07
1.668101e-09,-3.890897020272378e-07
1.69133e-09,-3.837369816663572e-07
1.714882e-09,-3.783633585651354e-07
1.738762e-09,-3.727500741267113e-07
1.762975e-09,-3.682284207119037e-07
1.787526e-09,-3.631585549282125e-07
1.812418e-09,-3.580183469440726e-07
1.837656e-09,-3.533228693522249e-07
1.863246e-09,-3.484750254937821e-07
1.889193e-09,-3.435993862383581e-07
1.915501e-09,-3.386476366184222e-07
1.942175e-09,-3.339762140225174e-07
1.96922e-09,-3.293649106050282e-07
1.996642e-09,-3.248124780596637e-07
2.024447e-09,-3.203176359768874e-07
2.052638e-09,-3.158790663552502e-07
2.081222e-09,-3.114954080202561e-07
2.110203e-09,-3.078532920077082e-07
2.139589e-09,-3.036414519246169e-07
2.169384e-09,-2.994872335584942e-07
2.199593e-09,-2.953898372805587e-07
2.230223e-09,-2.913484720157908e-07
2.26128e-09,-2.873623543823985e-07
2.292769e-09,-2.829258490078692e-07
2.324697e-09,-2.794211917120336e-07
2.357069e-09,-2.754042434252735e-07
2.389893e-09,-2.719583703009851e-07
2.423173e-09,-2.682301521639614e-07
2.456916e-09,-2.645329588151698e-07
2.49113e-09,-2.609362457068129e-07
2.52582e-09,-2.569201748099526e-07
2.560993e-09,-2.533761443190979e-07
2.596656e-09,-2.49946937314328e-07
2.632815e-09,-2.46961397721073e-07
2.669478e-09,-2.435108098755915e-07
2.706652e-09,-2.401613733176433e-07
2.744343e-09,-2.366979396139865e-07
2.782559e-09,-2.333039955256088e-07
