kcgs_n X,kcgs_n Y
1e-09,-7.886199404478406e-07
1.013925e-09,-7.767590244833528e-07
1.028045e-09,-7.668048252828051e-07
1.042361e-09,-7.566601686901826e-07
1.056876e-09,-7.455960603437641e-07
1.071593e-09,-7.36208449432617e-07
1.086516e-09,-7.259844327650636e-07
1.101646e-09,-7.147985404003051e-07
1.116987e-09,-7.064241788861998e-07
1.132541e-09,-6.962813925208035e-07
1.148312e-09,-6.872861576373587e-07
1.164303e-09,-6.776760202296225e-07
1.180517e-09,-6.686479008362807e-07
1.196956e-09,-6.594959695222405e-07
1.213624e-09,-6.491581431011846e-07
1.230524e-09,-6.416234714445159e-07
1.24766e-09,-6.317471753682371e-07
1.265034e-09,-6.241144847657221e-07
1.28265e-09,-6.156061484855727e-07
1.300511e-09,-6.068151376526223e-07
1.318621e-09,-5.988461514442423e-07
1.336984e-09,-5.906510316285899e-07
1.355602e-09,-5.822526818484469e-07
1.374479e-09,-5.747765337806888e-07
1.393619e-09,-5.667389511920143e-07
1.413026e-09,-5.591617943504914e-07
1.432703e-09,-5.5150925657157e-07
1.452654e-09,-5.43999346827591e-07
1.472883e-09,-5.365432118593775e-07
1.493393e-09,-5.292346399714056e-07
1.514189e-09,-5.220358250618246e-07
1.535275e-09,-5.149005166965376e-07
1.556654e-09,-5.067885561825516e-07
1.578331e-09,-5.002025039149492e-07
1.60031e-09,-4.940879569235994e-07
1.622595e-09,-4.869851057763302e-07
1.645191e-09,-4.796417309581726e-07
1.668101e-09,-4.741263745368674e-07
1.69133e-09,-4.676172241836574e-07
1.714882e-09,-4.610829244592243e-07
1.738762e-09,-4.542585405661466e-07
1.762975e-09,-4.487563393456391e-07
1.787526e-09,-4.425903960903785e-07
1.812418e-09,-4.363394196570714e-07
1.837656e-09,-4.306272368819066e-07
1.863246e-09,-4.247306827188669e-07
1.889193e-09,-4.188006215850612e-07
1.915501e-09,-4.127785230457802e-07
1.942175e-09,-4.0709612613359e-07
1.96922e-09,-4.014867088501902e-07
1.996642e-09,-3.959487598557395e-07
2.024447e-09,-3.904807288032407e-07
2.052638e-09,-3.850810196840883e-07
2.081222e-09,-3.797479840629157e-07
2.110203e-09,-3.753134607169585e-07
2.139589e-09,-3.701889025868e-07
2.169384e-09,-3.651343069103681e-07
2.199593e-09,-3.601487056824563e-07
2.230223e-09,-3.552311411984485e-07
2.26128e-09,-3.503806650124869e-07
2.292769e-09,-3.449846250871076e-07
2.324697e-09,-3.407178039474265e-07
2.357069e-09,-3.358304039663189e-07
2.389893e-09,-3.316351286532421e-07
2.423173e-09,-3.270978822876589e-07
2.456916e-09,-3.22598374839134e-07
2.49113e-09,-3.182207718911179e-07
2.52582e-09,-3.133351171356486e-07
2.560993e-09,-3.090216301828702e-07
2.596656e-09,-3.048474366398763e-07
2.632815e-09,-3.012110739626507e-07
2.669478e-09,-2.970112595095787e-07
2.706652e-09,-2.929341709859249e-07
2.744343e-09,-2.887190539986678e-07
2.782559e-09,-2.84588285885026e-07
2.821308e-09,-2.808590014263545e-07
2.860596e-09,-2.772817626944303e-07
2.90043e-09,-2.735666032521064e-07
2.94082e-09,-2.698461848341639e-07
2.981772e-09,-2.659368296311211e-07
3.023295e-09,-2.625083472800856e-07
3.065395e-09,-2.587309317497852e-07
3.108082e-09,-2.554121799209038e-07
3.151363e-09,-2.518866967556909e-07
3.195248e-09,-2.482522690208991e-07
3.239743e-09,-2.45095569130625e-07
3.284857e-09,-2.417455658981422e-07
3.3306e-09,-2.384318612472416e-07
3.37698e-09,-2.351461368912324e-07
3.424006e-09,-2.31881953475334e-07
3.471687e-09,-2.286399634623715e-07
3.520031e-09,-2.254313846495137e-07
3.569049e-09,-2.222769755243101e-07
3.61875e-09,-2.191997424490616e-07
3.669142e-09,-2.162153029830401e-07
3.720237e-09,-2.133222057946546e-07
3.772042e-09,-2.105004354995069e-07
3.824570000000001e-09,-2.077192288151584e-07
3.877828000000001e-09,-2.049519426640012e-07
3.931829e-09,-2.021895519412636e-07
3.986581e-09,-1.994411548226042e-07
4.042096e-09,-1.965883628406279e-07
4.098384000000001e-09,-1.940350022489307e-07
4.155455e-09,-1.913843817816616e-07
4.213322e-09,-1.884103173140069e-07
4.271994000000001e-09,-1.861728319090218e-07
4.331483000000001e-09,-1.836599346153462e-07
4.391801e-09,-1.810944695118306e-07
4.452959e-09,-1.78676712865671e-07
4.514968e-09,-1.762437994446367e-07
4.577841e-09,-1.738393320736945e-07
4.641589e-09,-1.71466477082249e-07
4.706225e-09,-1.691241637526561e-07
4.771761e-09,-1.668006755841153e-07
4.838210000000001e-09,-1.644367463583506e-07
4.905584000000001e-09,-1.623003668789453e-07
4.973896e-09,-1.600700513118383e-07
5.043159e-09,-1.578828304309176e-07
5.113388e-09,-1.557234788214032e-07
5.184594e-09,-1.53534950503222e-07
5.256791e-09,-1.515216308303256e-07
5.329994e-09,-1.494592082641904e-07
5.404216e-09,-1.474210627685644e-07
5.479472000000001e-09,-1.454042024268766e-07
5.555776e-09,-1.433961114357554e-07
5.633143e-09,-1.413492429748341e-07
5.711586e-09,-1.394284541927931e-07
5.791123e-09,-1.374835500662598e-07
5.871766e-09,-1.357566926927252e-07
5.953533000000001e-09,-1.339097151605156e-07
6.036439e-09,-1.319534399880695e-07
6.120498000000001e-09,-1.301702529735798e-07
6.205729e-09,-1.283232859057766e-07
6.292146e-09,-1.266468111651518e-07
6.379767000000001e-09,-1.249640816991684e-07
6.468608e-09,-1.232729814393042e-07
6.558686e-09,-1.215824864933693e-07
6.650018000000001e-09,-1.197550831238654e-07
6.742622000000001e-09,-1.183438282821191e-07
6.836516e-09,-1.167297402575847e-07
6.931717e-09,-1.151371975413256e-07
7.028244e-09,-1.135654472534841e-07
7.126115000000001e-09,-1.120133674204873e-07
