kcsg_p X,kcsg_p Y
1e-09,8.991642646971509e-07
1.013925e-09,8.869081147936361e-07
1.028045e-09,8.748190487008554e-07
1.042361e-09,8.628947885383951e-07
1.056876e-09,8.511330896431531e-07
1.071593e-09,8.395317363748141e-07
1.086516e-09,8.280885445747521e-07
1.101646e-09,8.168013591690633e-07
1.116987e-09,8.056680549554448e-07
1.132541e-09,7.946865337318454e-07
1.148312e-09,7.838547279297579e-07
1.164303e-09,7.731705983506209e-07
1.180517e-09,7.626321315547037e-07
1.196956e-09,7.522373438576544e-07
1.213624e-09,7.419842761517236e-07
1.230524e-09,7.318709977581741e-07
1.24766e-09,7.218956033119348e-07
1.265034e-09,7.1205621511288e-07
1.28265e-09,7.023509779914329e-07
1.300511e-09,6.927780655167984e-07
1.318621e-09,6.833356733508033e-07
1.336984e-09,6.7402202260562e-07
1.355602e-09,6.648353597179248e-07
1.374479e-09,6.557739529744732e-07
1.393619e-09,6.468360964557369e-07
1.413026e-09,6.380201052493286e-07
1.432703e-09,6.293243196577472e-07
1.452654e-09,6.207471002204494e-07
1.472883e-09,6.122868317304619e-07
1.493393e-09,6.039419201591543e-07
1.514189e-09,5.957107931431617e-07
1.535275e-09,5.875918996003729e-07
1.556654e-09,5.79583710477114e-07
1.578331e-09,5.716847161005325e-07
1.60031e-09,5.638934288085719e-07
1.622595e-09,5.562083803662732e-07
1.645191e-09,5.486281223965833e-07
1.668101e-09,5.41151227034182e-07
1.69133e-09,5.33776284932059e-07
1.714882e-09,5.265019065942312e-07
1.738762e-09,5.193267213906982e-07
1.762975e-09,5.122493769786417e-07
1.787526e-09,5.052685396247756e-07
1.812418e-09,4.983828941718878e-07
1.837656e-09,4.915911426474734e-07
1.863246e-09,4.848920051266617e-07
1.889193e-09,4.782842194244151e-07
1.915501e-09,4.717665398236903e-07
1.942175e-09,4.653377385901094e-07
1.96922e-09,4.589966035156128e-07
1.996642e-09,4.52741939644507e-07
2.024447e-09,4.465725682927318e-07
2.052638e-09,4.404873266141395e-07
2.081222e-09,4.344850678287038e-07
2.110203e-09,4.285646603786513e-07
2.139589e-09,4.227249887583982e-07
2.169384e-09,4.169649518963544e-07
2.199593e-09,4.112834641764674e-07
2.230223e-09,4.05679454829732e-07
2.26128e-09,4.001518675675818e-07
2.292769e-09,3.946996602470613e-07
2.324697e-09,3.893218053952805e-07
2.357069e-09,3.840172891697834e-07
2.389893e-09,3.787851117147431e-07
2.423173e-09,3.736242866722889e-07
