kgds X,kgds Y,kcgs X,kcgs Y,kcds X,kcds Y,kgmp X,kgmp Y,kcgd X,kcgd Y,rds X,rds Y,ids X,ids Y
1.1,-0.3293838241256254,1.1,9.432852153881441e-11,1.1,-7.999526537290872e-14,1.1,-8.455554804383734,1.1,3.818919082064933e-11,1.1,268.1699154106034,1.1,-0.0113210752631805
1.114051,-0.3338961737307052,1.114051,1.044526793519466e-10,1.114051,-8.801410377363806e-14,1.114051,-8.889877706477668,1.114051,4.272017659608283e-11,1.114051,297.1030618448844,1.114051,-0.01008048505700234
1.128281,-0.3390923247471418,1.128281,1.163172991961266e-10,1.128281,-9.714180218058924e-14,1.128281,-9.369893287961739,1.128281,4.815593491014335e-11,1.128281,331.2187169095877,1.128281,-0.008903631346239784
1.142694,-0.3450750102941163,1.142694,1.303218337148767e-10,1.142694,-1.075634357312191e-13,1.142694,-9.903455529710321,1.142694,5.474910912568617e-11,1.142694,371.8264652289669,1.142694,-0.007793745003152975
1.15729,-0.351963452799023,1.15729,1.46986982006405e-10,1.15729,-1.194971141657266e-13,1.15729,-10.49967797095793,1.15729,6.284502578573982e-11,1.15729,420.6789086344365,1.15729,-0.006753854369859524
1.172073,-0.3598908169303514,1.172073,1.670035544924294e-10,1.172073,-1.332003155090472e-13,1.172073,-11.16866851003554,1.172073,7.292375273558887e-11,1.172073,480.1659654451987,1.172073,-0.005786791849654234
1.187045,-0.3689965590005328,1.187045,1.913059458335738e-10,1.187045,-1.48977186782701e-13,1.187045,-11.9208159919027,1.187045,8.566426950362687e-11,1.187045,553.6131906944314,1.187045,-0.004895209177832082
1.202207,-0.3794107125458827,1.202207,2.211841301205803e-10,1.202207,-1.671861186982264e-13,1.202207,-12.76538676998679,1.202207,1.020434068095253e-10,1.202207,645.746494036318,1.202207,-0.004081580385070417
1.217564,-0.3912270399383384,1.217564,2.584562299303826e-10,1.217564,-1.882456091028739e-13,1.217564,-13.70820176924368,1.217564,1.234896383223699e-10,1.217564,763.4239304695782,1.217564,-0.003348153549584425
1.233117,-0.4044635641777349,1.233117,3.057367388106751e-10,1.233117,-2.12634211817293e-13,1.233117,-14.74833846649464,1.233117,1.521233982384485e-10,1.233117,916.7955973757051,1.233117,-0.002696795881986778
1.248868,-0.4190138068467284,1.248868,3.66856778034402e-10,1.248868,-2.40877593824704e-13,1.248868,-15.87426594713513,1.248868,1.911334188429715e-10,1.248868,1121.146070195934,1.248868,-0.002128675528324975
1.264821,-0.4346010784712055,1.264821,4.475287176080502e-10,1.264821,-2.735145936991183e-13,1.264821,-17.0606308402107,1.264821,2.453657440790891e-10,1.264821,1399.816319952751,1.264821,-0.001643759015521635
1.280977,-0.4507592781711747,1.280977,5.564101004149704e-10,1.280977,-3.110403715352948e-13,1.280977,-18.26781236185613,1.280977,3.222440242849807e-10,1.280977,1788.819889784308,1.280977,-0.001240191384785756
1.29734,-0.466868503345567,1.29734,7.068322949396157e-10,1.29734,-3.538473241538182e-13,1.29734,-19.44653217665141,1.29734,4.332077848413537e-10,1.29734,2344.11247120076,1.29734,-0.0009137491348092962
1.313911,-0.4822591603858919,1.313911,9.196506081176698e-10,1.313911,-4.022285437460231e-13,1.313911,-20.54808136997205,1.313911,5.959742235275791e-10,1.313911,3153.057677004381,1.313911,-0.0006576390589075288
1.330695,-0.496359313774592,1.330695,1.227988341189198e-09,1.330695,-4.565570336814164e-13,1.330695,-21.53695997252091,1.330695,8.381465143136898e-10,1.330695,4352.694855563726,1.330695,-0.0004628556851055871
1.347693,-0.5088190844847318,1.347693,1.68514453007298e-09,1.347693,-5.177529419520095e-13,1.347693,-22.39942388308198,1.347693,1.203084375512751e-09,1.347693,6159.39509991112,1.347693,-0.0003190792368021504
1.364908,-0.5195462681147083,1.364908,2.377723860933032e-09,1.364908,-5.880459453752182e-13,1.364908,-23.14264504714751,1.364908,1.759627256476537e-09,1.364908,8918.047229774391,1.364908,-0.0002158271134317335
1.382342,-0.528643659000416,1.382342,3.447401027404358e-09,1.382342,-6.718745248479063e-13,1.382342,-23.78543555288454,1.382342,2.618375744406553e-09,1.382342,13184.95830348694,1.382342,-0.0001434690465116253
1.4,-0.536302667500829,1.4,5.127216776912024e-09,1.4,-7.767155158690058e-13,1.4,-24.34721336756247,1.4,3.959093981059736e-09,1.4,19868.70923789715,1.4,-9.384699881435013e-05
