rds X,rds Y,kcgd X,kcgd Y,kgds X,kgds Y,kgmp X,kgmp Y,kcds X,kcds Y,ids X,ids Y,kcgs X,kcgs Y

1,173783.5544183001,1,2.870311874163893e-11,1,-0.3688610930840016,1,-7.596715756178948,1,-4.951562481194298e-14,1,-1.560013926638986e-05,1,6.697860483695854e-11
1.047616,165884.823653802,1.047616,2.870311873836129e-11,1.047616,-0.36886109306634,1.047616,-7.596715755767769,1.047616,-4.951562480351821e-14,1.047616,-1.634295164289066e-05,1.047616,6.697860483062082e-11
1.097499,158345.1023937971,1.097499,2.870311873523232e-11,1.097499,-0.3688610930494804,1.097499,-7.596715755375243,1.097499,-4.951562479545513e-14,1.097499,-1.712113358988011e-05,1.097499,6.697860482457049e-11
1.149757,151148.0731021596,1.149757,2.870311873224564e-11,1.149757,-0.3688610930333873,1.149757,-7.596715755000568,1.149757,-4.951562478777876e-14,1.149757,-1.793636925608277e-05,1.149757,6.697860481879532e-11
1.204504,144278.1598999702,1.204504,2.870311872939458e-11,1.204504,-0.3688610930180254,1.204504,-7.596715754642899,1.204504,-4.951562478043607e-14,1.204504,-1.879042298223263e-05,1.204504,6.697860481328238e-11
1.261857,137720.4948560507,1.261857,2.870311872667332e-11,1.261857,-0.3688610930033623,1.261857,-7.596715754301523,1.261857,-4.951562477343475e-14,1.261857,-1.968514311947591e-05,1.261857,6.697860480802047e-11
1.321941,131460.8858096467,1.321941,2.870311872407556e-11,1.321941,-0.3688610929893651,1.321941,-7.596715753975634,1.321941,-4.951562476673025e-14,1.321941,-2.062246602959024e-05,1.321941,6.69786048029973e-11
1.384886,125485.7856556195,1.384886,2.870311872159572e-11,1.384886,-0.3688610929760035,1.384886,-7.596715753664535,1.384886,-4.951562476037358e-14,1.384886,-2.160442027567668e-05,1.384886,6.697860479820217e-11
1.450829,119782.2630256704,1.450829,2.870311871922871e-11,1.450829,-0.3688610929632497,1.450829,-7.596715753367592,1.450829,-4.951562475426374e-14,1.450829,-2.263313101239556e-05,1.450829,6.697860479362518e-11
1.519911,114337.9743021537,1.519911,2.870311871696975e-11,1.519911,-0.3688610929510769,1.519911,-7.596715753084212,1.519911,-4.95156247484507e-14,1.519911,-2.371082458524564e-05,1.519911,6.697860478925723e-11
1.592283,109141.1369038936,1.592283,2.870311871481283e-11,1.592283,-0.3688610929394555,1.592283,-7.596715752813619,1.592283,-4.951562474290126e-14,1.592283,-2.483983334884417e-05,1.592283,6.697860478508648e-11
1.668101,104180.5037862234,1.668101,2.870311871275404e-11,1.668101,-0.3688610929283628,1.668101,-7.596715752555344,1.668101,-4.951562473759831e-14,1.668101,-2.602260071462754e-05,1.668101,6.697860478110547e-11
1.747528,99445.33910001632,1.747528,2.870311871078914e-11,1.747528,-0.368861092917775,1.747528,-7.596715752308855,1.747528,-4.951562473255412e-14,1.747528,-2.726168643890729e-05,1.747528,6.697860477730607e-11
1.830738,94925.39495705671,1.830738,2.870311870891341e-11,1.830738,-0.3688610929076682,1.830738,-7.596715752073544,1.830738,-4.951562472771332e-14,1.830738,-2.855977216271984e-05,1.830738,6.697860477367911e-11
