kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
1,-9.874442699912345,1,4.407183817078451e-11,1,-1.015414463263719e-05,1,238310.5123907598,1,-7.681451014941593e-14,1,-0.4132505635482019,1,1.005993840854604e-10
1.043729,-9.874442699372141,1.043729,4.407183816486259e-11,1.043729,-1.059817616324183e-05,1.043729,228326.0226231368,1.043729,-7.681451013559658e-14,1.043729,-0.4132505635279324,1.043729,1.005993840742999e-10
1.08937,-9.874442698854518,1.08937,4.407183815918835e-11,1.08937,-1.106162478969419e-05,1.08937,218759.8527822572,1.08937,-7.681451012239336e-14,1.08937,-0.413250563508511,1.08937,1.005993840636063e-10
1.137008,-9.874442698358585,1.137008,4.407183815375177e-11,1.137008,-1.154533960397337e-05,1.137008,209594.4765281941,1.137008,-7.681451010971591e-14,1.137008,-0.4132505634899033,1.137008,1.005993840533605e-10
1.186728,-9.874442697883424,1.186728,4.407183814854291e-11,1.186728,-1.205020682808025e-05,1.186728,200813.1018216666,1.186728,-7.681451009757954e-14,1.186728,-0.4132505634720752,1.186728,1.005993840435438e-10
1.238622,-9.874442697428172,1.238622,4.407183814355227e-11,1.238622,-1.257715143769943e-05,1.238622,192399.6401590655,1.238622,-7.681451008594824e-14,1.238622,-0.4132505634549936,1.238622,1.005993840341384e-10
1.292786,-9.874442696992039,1.292786,4.407183813877126e-11,1.292786,-1.312713885686267e-05,1.292786,184338.6770964346,1.292786,-7.681451007483092e-14,1.292786,-0.4132505634386292,1.292786,1.005993840251281e-10
1.349319,-9.874442696574098,1.349319,4.407183813418967e-11,1.349319,-1.370117672671901e-05,1.349319,176615.444008404,1.349319,-7.681451006416072e-14,1.349319,-0.4132505634229484,1.349319,1.005993840164936e-10
1.408323,-9.874442696173746,1.408323,4.407183812980084e-11,1.408323,-1.43003167516494e-05,1.408323,169215.7910303594,1.408323,-7.681451005391971e-14,1.408323,-0.4132505634079264,1.408323,1.005993840082224e-10
1.469908,-9.874442695790099,1.469908,4.407183812559533e-11,1.469908,-1.492565662611403e-05,1.469908,162126.1611342157,1.469908,-7.681451004412431e-14,1.469908,-0.4132505633935323,1.469908,1.005993840002966e-10
1.534186,-9.874442695422536,1.534186,4.407183812156597e-11,1.534186,-1.55783420457549e-05,1.534186,155333.5652903769,1.534186,-7.681451003475267e-14,1.534186,-0.4132505633797414,1.534186,1.005993839927029e-10
1.601274,-9.874442695070428,1.601274,4.407183811770599e-11,1.601274,-1.625956880644446e-05,1.601274,148825.5586703108,1.601274,-7.68145100257533e-14,1.601274,-0.4132505633665295,1.601274,1.005993839854283e-10
1.671296,-9.874442694733052,1.671296,4.407183811400761e-11,1.671296,-1.697058499512409e-05,1.671296,142590.2178461638,1.671296,-7.681451001713575e-14,1.671296,-0.4132505633538707,1.671296,1.005993839784584e-10
1.744381,-9.874442694409735,1.744381,4.407183811046338e-11,1.744381,-1.771269327644444e-05,1.744381,136616.1189456535,1.744381,-7.681451000887543e-14,1.744381,-0.4132505633417408,1.744381,1.005993839717788e-10
1.820661,-9.874442694100031,1.820661,4.407183810706827e-11,1.820661,-1.848725327939797e-05,1.820661,130892.316722209,1.820661,-7.681451000095715e-14,1.820661,-0.4132505633301202,1.820661,1.005993839653804e-10
1.900277,-9.874442693803374,1.900277,4.40718381038162e-11,1.900277,-1.929568408831972e-05,1.900277,125408.3245019877,1.900277,-7.681450999339971e-14,1.900277,-0.4132505633189884,1.900277,1.005993839592516e-10
1.983374,-9.874442693519038,1.983374,4.407183810069921e-11,1.983374,-2.013946684281586e-05,1.983374,120154.0949710648,1.983374,-7.681450998613845e-14,1.983374,-0.4132505633083203,1.983374,1.005993839533773e-10
2.070105,-9.87444269324668,2.070105,4.407183809771354e-11,2.070105,-2.102014745138122e-05,2.070105,115120.0017675967,2.070105,-7.681450997916565e-14,2.070105,-0.4132505632981008,2.070105,1.005993839477505e-10
2.160629,-9.874442692985697,2.160629,4.407183809485258e-11,2.160629,-2.193933942368794e-05,2.160629,110296.8218451821,2.160629,-7.681450997248785e-14,2.160629,-0.4132505632883086,2.160629,1.005993839423587e-10
2.255111,-9.874442692735641,2.255111,4.407183809211139e-11,2.255111,-2.289872682672078e-05,2.255111,105675.7185751781,2.255111,-7.681450996612678e-14,2.255111,-0.4132505632789265,2.255111,1.005993839371927e-10
2.353725,-9.87444269249607,2.353725,4.407183808948519e-11,2.353725,-2.390006737018551e-05,2.353725,101248.2255569591,2.353725,-7.681450995999638e-14,2.353725,-0.4132505632699378,2.353725,1.005993839322433e-10
2.456652,-9.874442692266525,2.456652,4.40718380869688e-11,2.456652,-2.494519562683817e-05,2.456652,97006.23110648303,2.456652,-7.681450995415278e-14,2.456652,-0.4132505632613253,2.456652,1.005993839275009e-10
2.564079,-9.874442692046653,2.564079,4.407183808455851e-11,2.564079,-2.603602639363625e-05,2.564079,92941.96339473917,2.564079,-7.68145099485324e-14,2.564079,-0.4132505632530749,2.564079,1.005993839229585e-10
2.676204,-9.874442691835924,2.676204,4.407183808224843e-11,2.676204,-2.717455819987112e-05,2.676204,89047.97620884876,2.676204,-7.681450994315054e-14,2.676204,-0.4132505632451686,2.676204,1.005993839186048e-10
2.793232,-9.874442691634055,2.793232,4.407183808003544e-11,2.793232,-2.83628769687054e-05,2.793232,85317.13530973667,2.793232,-7.681450993799905e-14,2.793232,-0.4132505632375942,2.793232,1.005993839144342e-10
