kgmp X,kgmp Y,kgds X,kgds Y,ids X,ids Y,kcds X,kcds Y,kcgd X,kcgd Y,rds X,rds Y,kcgs X,kcgs Y
1,-15.64580324196974,1,-0.2709746844214629,1,-1.455427812277949e-06,1,-3.381754512271403e-13,1,2.657751438762793e-10,1,2535599.229164066,1,4.965482822646325e-10
1.043729,-15.64580324110368,1.043729,-0.2709746844102485,1.043729,-1.519072349933133e-06,1.043729,-3.381754511690958e-13,1.043729,2.657751438187958e-10,1.043729,2429365.289435414,1.043729,4.965482821900693e-10
1.08937,-15.64580324027399,1.08937,-0.2709746843995045,1.08937,-1.585500005458646e-06,1.08937,-3.381754511136011e-13,1.08937,2.657751437637251e-10,1.08937,2327582.230532648,1.08937,4.965482821186363e-10
1.137008,-15.64580323947915,1.137008,-0.2709746843892111,1.137008,-1.654832482073093e-06,1.137008,-3.381754510603852e-13,1.137008,2.65775143710968e-10,1.137008,2230063.574007211,1.137008,4.965482820502045e-10
1.186728,-15.64580323871751,1.186728,-0.2709746843793482,1.186728,-1.727196804966476e-06,1.186728,-3.381754510095098e-13,1.186728,2.657751436604144e-10,1.186728,2136630.654293675,1.186728,4.965482819846306e-10
1.238622,-15.6458032379878,1.238622,-0.2709746843698986,1.238622,-1.802725554024921e-06,1.238622,-3.381754509604977e-13,1.238622,2.657751436119809e-10,1.238622,2047112.291373856,1.238622,4.965482819218065e-10
1.292786,-15.64580323728864,1.292786,-0.2709746843608453,1.292786,-1.881557106732756e-06,1.292786,-3.381754509137958e-13,1.292786,2.657751435655743e-10,1.292786,1961344.477154695,1.292786,4.965482818616118e-10
1.349319,-15.64580323661881,1.349319,-0.270974684352171,1.349319,-1.963835891696031e-06,1.349319,-3.381754508689981e-13,1.349319,2.65775143521115e-10,1.349319,1879170.07498649,1.349319,4.965482818039429e-10
1.408323,-15.64580323597702,1.408323,-0.2709746843438603,1.408323,-2.049712653252731e-06,1.408323,-3.38175450826032e-13,1.408323,2.657751434785163e-10,1.408323,1800438.531770017,1.408323,4.965482817486874e-10
1.469908,-15.64580323536204,1.469908,-0.2709746843358974,1.469908,-2.139344727653937e-06,1.469908,-3.381754507848011e-13,1.469908,2.657751434376982e-10,1.469908,1725005.602125746,1.469908,4.965482816957412e-10
1.534186,-15.64580323477296,1.534186,-0.2709746843282687,1.534186,-2.23289633132206e-06,1.534186,-3.381754507454318e-13,1.534186,2.657751433985981e-10,1.534186,1652733.08411954,1.534186,4.965482816450239e-10
1.601274,-15.64580323420851,1.601274,-0.2709746843209593,1.601274,-2.330538861714812e-06,1.601274,-3.381754507076988e-13,1.601274,2.657751433611325e-10,1.601274,1583488.56606033,1.601274,4.965482815964267e-10
1.671296,-15.64580323366768,1.671296,-0.2709746843139561,1.671296,-2.43245121134508e-06,1.671296,-3.381754506713796e-13,1.671296,2.657751433252357e-10,1.671296,1517145.18390663,1.671296,4.965482815498642e-10
1.744381,-15.64580323314947,1.744381,-0.270974684307246,1.744381,-2.538820095533033e-06,1.744381,-3.381754506367598e-13,1.744381,2.657751432908401e-10,1.744381,1453581.388836696,1.744381,4.965482815052488e-10
1.820661,-15.64580323265303,1.820661,-0.2709746843008176,1.820661,-2.649840394490213e-06,1.820661,-3.381754506034057e-13,1.820661,2.657751432578896e-10,1.820661,1392680.724556975,1.820661,4.965482814625079e-10
1.900277,-15.64580323217741,1.900277,-0.2709746842946584,1.900277,-2.765715510363069e-06,1.900277,-3.381754505717742e-13,1.900277,2.657751432263203e-10,1.900277,1334331.613940437,1.900277,4.965482814215591e-10
1.983374,-15.64580323172177,1.983374,-0.2709746842887574,1.983374,-2.886657739889268e-06,1.983374,-3.381754505412519e-13,1.983374,2.657751431960771e-10,1.983374,1278427.154604334,1.983374,4.965482813823304e-10
2.070105,-15.64580323128506,2.070105,-0.270974684283103,2.070105,-3.012888663350285e-06,2.070105,-3.381754505120173e-13,2.070105,2.657751431670904e-10,2.070105,1224864.923052476,2.070105,4.965482813447311e-10
2.160629,-15.64580323086674,2.160629,-0.2709746842776861,2.160629,-3.144639550531909e-06,2.160629,-3.381754504838858e-13,2.160629,2.657751431393246e-10,2.160629,1173546.78702358,2.160629,4.965482813087153e-10
