kgmp X,kgmp Y,rds X,rds Y,kcgd X,kcgd Y,ids X,ids Y,kgds X,kgds Y,kcgs X,kcgs Y,kcds X,kcds Y
1,-17.80525148223441,1,3978828.145591957,1,4.398633153118181e-10,1,-8.799817674538541e-07,1,-0.2856085106877779,1,7.227893919002274e-10,1,-4.236756935645762e-13
1.047616,-17.80525148115227,1.047616,3797984.264905982,1.047616,4.398633151949776e-10,1.047616,-9.218827619875957e-07,1.047616,-0.2856085106744161,1.047616,7.227893917681926e-10,1.047616,-4.23675693494834e-13
1.097499,-17.80525148011923,1.097499,3625360.017770722,1.097499,4.398633150834397e-10,1.097499,-9.657789039187086e-07,1.097499,-0.2856085106616612,1.097499,7.227893916421487e-10,1.097499,-4.23675693428025e-13
1.149757,-17.80525147913325,1.149757,3460581.809149488,1.149757,4.398633149769819e-10,1.149757,-1.011765193692411e-06,1.149757,-0.2856085106494868,1.149757,7.227893915218468e-10,1.149757,-4.236756933644486e-13
1.204504,-17.80525147819197,1.204504,3303293.024476897,1.204504,4.398633148753508e-10,1.204504,-1.059941155271715e-06,1.204504,-0.2856085106378649,1.204504,7.22789391406998e-10,1.204504,-4.236756933037245e-13
1.261857,-17.80525147729351,1.261857,3153153.257870654,1.261857,4.398633147783425e-10,1.261857,-1.110411051527981e-06,1.261857,-0.2856085106267715,1.261857,7.22789391297374e-10,1.261857,-4.2367569324567e-13
1.321941,-17.80525147643583,1.321941,3009837.575421535,1.321941,4.398633146857383e-10,1.321941,-1.163284109887719e-06,1.321941,-0.285608510616182,1.321941,7.227893911927262e-10,1.321941,-4.236756931904089e-13
1.384886,-17.80525147561721,1.384886,2873035.811968507,1.384886,4.398633145973503e-10,1.384886,-1.218674758723523e-06,1.384886,-0.2856085106060743,1.384886,7.227893910928433e-10,1.384886,-4.23675693137638e-13
1.450829,-17.80525147483573,1.450829,2742451.899835984,1.450829,4.398633145129727e-10,1.450829,-1.276702875001179e-06,1.450829,-0.2856085105964256,1.450829,7.227893909974923e-10,1.450829,-4.236756930870048e-13
1.519911,-17.80525147408979,1.519911,2617803.228081711,1.519911,4.398633144324325e-10,1.519911,-1.337494043718348e-06,1.519911,-0.2856085105872155,1.519911,7.227893909064778e-10,1.519911,-4.236756930390177e-13
1.592283,-17.80525147337778,1.592283,2498820.030867133,1.592283,4.398633143555553e-10,1.592283,-1.401179829696946e-06,1.592283,-0.2856085105784241,1.592283,7.227893908196025e-10,1.592283,-4.236756929930276e-13
1.668101,-17.80525147269815,1.668101,2385244.80362772,1.668101,4.39863314282176e-10,1.668101,-1.467898062316906e-06,1.668101,-0.2856085105700325,1.668101,7.227893907366805e-10,1.668101,-4.23675692949234e-13
1.747528,-17.8052514720494,1.747528,2276831.745779051,1.747528,4.398633142121291e-10,1.747528,-1.537793133807864e-06,1.747528,-0.2856085105620224,1.747528,7.227893906575241e-10,1.747528,-4.236756929071455e-13
1.830738,-17.80525147143013,1.830738,2173346.228752866,1.830738,4.398633141452643e-10,1.830738,-1.611016311744166e-06,1.830738,-0.2856085105543761,1.830738,7.227893905819635e-10,1.830738,-4.236756928673717e-13
1.91791,-17.80525147083893,1.91791,2074564.288211672,1.91791,4.39863314081432e-10,1.91791,-1.687726066419577e-06,1.91791,-0.285608510547077,1.91791,7.227893905098295e-10,1.91791,-4.236756928292364e-13
2.009233,-17.80525147027464,2.009233,1980272.139343012,2.009233,4.398633140205052e-10,2.009233,-1.768088413810153e-06,2.009233,-0.2856085105401099,2.009233,7.22789390440979e-10,2.009233,-4.236756927927608e-13
2.104904,-17.805251469736,2.104904,1890265.714184234,2.104904,4.39863313962349e-10,2.104904,-1.852277274867665e-06,2.104904,-0.2856085105334594,2.104904,7.227893903752593e-10,2.104904,-4.236756927580723e-13
2.205131,-17.80525146922194,2.205131,1804350.219976721,2.205131,4.398633139068443e-10,2.205131,-1.940474851920898e-06,2.205131,-0.2856085105271119,2.205131,7.227893903125368e-10,2.205131,-4.236756927248188e-13
2.31013,-17.80525146873124,2.31013,1722339.717593465,2.31013,4.39863313853863e-10,2.31013,-2.032872022999752e-06,2.31013,-0.2856085105210527,2.31013,7.227893902526656e-10,2.31013,-4.236756926931087e-13
2.420128,-17.80525146826275,2.420128,1644056.719127892,2.420128,4.398633138032788e-10,2.420128,-2.129668754935207e-06,2.420128,-0.2856085105152684,2.420128,7.227893901955026e-10,2.420128,-4.236756926629428e-13
2.535364,-17.80525146781557,2.535364,1569331.803772902,2.535364,4.39863313754996e-10,2.535364,-2.231074536129338e-06,2.535364,-0.2856085105097471,2.535364,7.227893901409405e-10,2.535364,-4.236756926341338e-13
2.656088,-17.80525146738875,2.656088,1498003.251158633,2.656088,4.398633137089121e-10,2.656088,-2.337308829932225e-06,2.656088,-0.2856085105044768,2.656088,7.227893900888635e-10,2.656088,-4.236756926065621e-13
2.782559,-17.80525146698128,2.782559,1429916.691355672,2.782559,4.398633136649156e-10,2.782559,-2.44860154960666e-06,2.782559,-0.2856085104994459,2.782559,7.22789390039145e-10,2.782559,-4.236756925802756e-13
2.915053,-17.80525146659235,2.915053,1364924.770786328,2.915053,4.398633136229241e-10,2.915053,-2.565193555908368e-06,2.915053,-0.2856085104946439,2.915053,7.227893899916927e-10,2.915053,-4.236756925551234e-13
3.053856,-17.80525146622112,3.053856,1302886.833320451,3.053856,4.398633135828408e-10,3.053856,-2.687337178359395e-06,3.053856,-0.2856085104900601,3.053856,7.227893899463963e-10,3.053856,-4.236756925312749e-13
3.199267,-17.80525146586678,3.199267,1243668.615866199,3.199267,4.398633135445834e-10,3.199267,-2.81529676134186e-06,3.199267,-0.285608510485685,3.199267,7.227893899031636e-10,3.199267,-4.236756925082705e-13
3.351603,-17.8052514655285,3.351603,1187141.957796504,3.351603,4.398633135080592e-10,3.351603,-2.949349236194721e-06,3.351603,-0.2856085104815083,3.351603,7.227893898618897e-10,3.351603,-4.236756924865891e-13
3.511192,-17.80525146520552,3.511192,1133184.523582675,3.511192,4.398633134731864e-10,3.511192,-3.089784720551082e-06,3.511192,-0.2856085104775211,3.511192,7.227893898224812e-10,3.511192,-4.23675692465756e-13
3.67838,-17.80525146489733,3.67838,1081679.538034721,3.67838,4.398633134399105e-10,3.67838,-3.23690714621336e-06,3.67838,-0.2856085104737158,3.67838,7.227893897848779e-10,3.67838,-4.236756924457215e-13
3.853529,-17.8052514646031,3.853529,1032515.533575223,3.853529,4.398633134081422e-10,3.853529,-3.391034916925833e-06,3.853529,-0.285608510470083,3.853529,7.227893897489778e-10,3.853529,-4.236756924268542e-13
4.037017,-17.80525146432234,4.037017,985586.1090003131,4.037017,4.39863313377827e-10,4.037017,-3.55250159746649e-06,4.037017,-0.2856085104666158,4.037017,7.227893897147208e-10,4.037017,-4.23675692408798e-13
4.229243,-17.80525146405421,4.229243,940789.6992050149,4.229243,4.398633133488781e-10,4.229243,-3.721656635551639e-06,4.229243,-0.2856085104633056,4.229243,7.227893896820069e-10,4.229243,-4.236756923913385e-13
4.430621,-17.80525146379837,4.430621,898029.3553752527,4.430621,4.398633133212534e-10,4.430621,-3.898866118113304e-06,4.430621,-0.2856085104601463,4.430621,7.227893896507896e-10,4.430621,-4.236756923746725e-13
4.641589,-17.80525146355404,4.641589,857212.5351701336,4.641589,4.398633132948734e-10,4.641589,-4.084513563588714e-06,4.641589,-0.2856085104571303,4.641589,7.227893896209785e-10,4.641589,-4.23675692359168e-13
4.862602,-17.80525146332089,4.862602,818250.9024410881,4.862602,4.39863313269699e-10,4.862602,-4.279000751933851e-06,4.862602,-0.2856085104542516,4.862602,7.227893895925302e-10,4.862602,-4.236756923441312e-13
5.094138,-17.80525146309832,5.094138,781060.1360538189,5.094138,4.39863313245669e-10,5.094138,-4.482748594159978e-06,5.094138,-0.2856085104515034,5.094138,7.22789389565375e-10,5.094138,-4.236756923296438e-13
5.336699,-17.80525146288606,5.336699,745559.7473997826,5.336699,4.398633132227501e-10,5.336699,-4.696198043272772e-06,5.336699,-0.2856085104488814,5.336699,7.227893895394765e-10,5.336699,-4.236756923159656e-13
