kcgd X,kcgd Y,ids X,ids Y,kcds X,kcds Y,rds X,rds Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kgds X,kgds Y
1,5.360734317702726e-11,1,-7.773138896848162e-06,1,-9.669673337945982e-14,1,396936.822520423,1,1.26123748185104e-10,1,-9.168244375148339,1,-0.3241023522582832
1.043729,5.360734317702726e-11,1.043729,-8.113051206208612e-06,1.043729,-9.669673337945064e-14,1.043729,380306.3701069261,1.043729,1.26123748185104e-10,1.043729,-9.168244375148339,1.043729,-0.3241023522582832
1.08937,5.360734317702726e-11,1.08937,-8.467827572366215e-06,1.08937,-9.669673337944479e-14,1.08937,364372.6833543248,1.08937,1.26123748185104e-10,1.08937,-9.168244375148339,1.08937,-0.3241023522582832
1.137008,5.360734317702726e-11,1.137008,-8.838117987034652e-06,1.137008,-9.669673337945523e-14,1.137008,349106.5698886464,1.137008,1.26123748185104e-10,1.137008,-9.168244375148339,1.137008,-0.3241023522582832
1.186728,5.360734317702726e-11,1.186728,-9.224600865475365e-06,1.186728,-9.66967333794694e-14,1.186728,334480.0604081005,1.186728,1.26123748185104e-10,1.186728,-9.168244375148339,1.186728,-0.3241023522582832
1.238622,5.360734317702726e-11,1.238622,-9.627984289433426e-06,1.238622,-9.669673337945483e-14,1.238622,320466.357440056,1.238622,1.26123748185104e-10,1.238622,-9.168244375148339,1.238622,-0.3241023522582832
1.292786,5.360734317702725e-11,1.292786,-1.004900730442608e-05,1.292786,-9.669673337945288e-14,1.292786,307039.7862449393,1.292786,1.26123748185104e-10,1.292786,-9.168244375148339,1.292786,-0.3241023522582831
1.349319,5.360734317702726e-11,1.349319,-1.048844127376025e-05,1.349319,-9.6696733379447e-14,1.349319,294175.7477771187,1.349319,1.26123748185104e-10,1.349319,-9.16824437514834,1.349319,-0.3241023522582832
1.408323,5.360734317702726e-11,1.408323,-1.094709129176017e-05,1.408323,-9.669673337945457e-14,1.408323,281850.6736165814,1.408323,1.26123748185104e-10,1.408323,-9.168244375148339,1.408323,-0.3241023522582832
1.469908,5.360734317702726e-11,1.469908,-1.142579765879434e-05,1.469908,-9.669673337943822e-14,1.469908,270041.9827888319,1.469908,1.26123748185104e-10,1.469908,-9.168244375148339,1.469908,-0.3241023522582832
