kcgd X,kcgd Y,kgmp X,kgmp Y,ids X,ids Y,kgds X,kgds Y,rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y

1,9.939808263529344e-11,1,-12.63709853998432,1,-4.194471365620933e-06,1,-0.3778176161318058,1,631016.2778749453,1,-1.643836976835756e-13,1,2.164503887238106e-10
1.043729,9.939808261797153e-11,1.043729,-12.63709853925661,1.043729,-4.377891792421191e-06,1.043729,-0.3778176161136429,1.043729,604578.6041346168,1.043729,-1.643836976527932e-13,1.043729,2.164503886950555e-10
1.08937,9.939808260137444e-11,1.08937,-12.63709853855934,1.08937,-4.569333028020228e-06,1.08937,-0.3778176160962405,1.08937,579248.5889747218,1.08937,-1.643836976232549e-13,1.08937,2.164503886675035e-10
1.137008,9.939808258547259e-11,1.137008,-12.63709853789129,1.137008,-4.769145815107395e-06,1.137008,-0.377817616079567,1.137008,554979.8248501475,1.137008,-1.643836975950005e-13,1.137008,2.164503886411056e-10
1.186728,9.939808257023694e-11,1.186728,-12.63709853725122,1.186728,-4.977696234031572e-06,1.186728,-0.3778176160635922,1.186728,531727.8485516035,1.186728,-1.643836975679138e-13,1.186728,2.164503886158138e-10
1.238622,9.939808255563989e-11,1.238622,-12.63709853663798,1.238622,-5.195366373503022e-06,1.238622,-0.377817616048287,1.238622,509450.059743839,1.238622,-1.64383697541901e-13,1.238622,2.164503885915819e-10
1.292786,9.939808254165505e-11,1.292786,-12.63709853605046,1.292786,-5.422555030624576e-06,1.292786,-0.3778176160336231,1.292786,488105.6429168437,1.292786,-1.643836975170868e-13,1.292786,2.164503885683666e-10
1.349319,9.939808252825438e-11,1.349319,-12.63709853548748,1.349319,-5.659678441534566e-06,1.349319,-0.3778176160195728,1.349319,467655.4926070595,1.349319,-1.643836974932419e-13,1.349319,2.164503885461207e-10
1.408323,9.939808251541734e-11,1.408323,-12.63709853494819,1.408323,-5.90717104399951e-06,1.408323,-0.3778176160061122,1.408323,448062.1417516412,1.408323,-1.643836974704159e-13,1.408323,2.164503885248108e-10
1.469908,9.939808250311854e-11,1.469908,-12.6370985344315,1.469908,-6.165486273355576e-06,1.469908,-0.3778176159932158,1.469908,429289.6930443622,1.469908,-1.643836974485227e-13,1.469908,2.164503885043943e-10
1.534186,9.939808249133209e-11,1.534186,-12.63709853393634,1.534186,-6.435097393254726e-06,1.534186,-0.3778176159808582,1.534186,411303.7531675855,1.534186,-1.643836974275481e-13,1.534186,2.164503884848281e-10
1.601274,9.939808248004215e-11,1.601274,-12.63709853346204,1.601274,-6.71649836273828e-06,1.601274,-0.37781761596902,1.601274,394071.3697797239,1.601274,-1.643836974074724e-13,1.601274,2.164503884660863e-10
1.671296,9.939808246922246e-11,1.671296,-12.63709853300749,1.671296,-7.010204741228958e-06,1.671296,-0.3778176159576759,1.671296,377560.9711426218,1.671296,-1.643836973882123e-13,1.671296,2.16450388448125e-10
1.744381,9.939808245885799e-11,1.744381,-12.63709853257207,1.744381,-7.316754633094446e-06,1.744381,-0.3778176159468083,1.744381,361742.3082785212,1.744381,-1.643836973698032e-13,1.744381,2.164503884309196e-10
1.820661,9.939808244892863e-11,1.820661,-12.63709853215492,1.820661,-7.636709673518349e-06,1.820661,-0.3778176159363963,1.820661,346586.3995503548,1.820661,-1.643836973521553e-13,1.820661,2.164503884144366e-10
1.900277,9.939808243941335e-11,1.900277,-12.63709853175518,1.900277,-7.970656057481366e-06,1.900277,-0.3778176159264199,1.900277,332065.4775640049,1.900277,-1.64383697335173e-13,1.900277,2.164503883986406e-10
1.983374,9.939808243029604e-11,1.983374,-12.63709853137214,1.983374,-8.319205613738427e-06,1.983374,-0.3778176159168609,1.983374,318152.938295217,1.983374,-1.643836973189947e-13,1.983374,2.164503883835053e-10
2.070105,9.939808242156347e-11,2.070105,-12.63709853100528,2.070105,-8.682996925760289e-06,2.070105,-0.3778176159077037,2.070105,304823.2923479171,2.070105,-1.643836973034516e-13,2.070105,2.16450388369009e-10
2.160629,9.93980824131942e-11,2.160629,-12.63709853065368,2.160629,-9.062696501694284e-06,2.160629,-0.3778176158989291,2.160629,292052.1182546216,2.160629,-1.643836972886078e-13,2.160629,2.164503883551155e-10
2.255111,9.939808240517928e-11,2.255111,-12.63709853031696,2.255111,-9.45899999548295e-06,2.255111,-0.3778176158905239,2.255111,279816.0177335225,2.255111,-1.643836972743008e-13,2.255111,2.164503883418106e-10
2.353725,9.939808239749665e-11,2.353725,-12.6370985299942,2.353725,-9.87263348138571e-06,2.353725,-0.3778176158824689,2.353725,268092.5728200311,2.353725,-1.643836972606688e-13,2.353725,2.16450388329057e-10
