kgds X,kgds Y,ids X,ids Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kcds X,kcds Y,rds X,rds Y,kcgd X,kcgd Y
1,-0.4037399008520817,1,-2.92856890416709e-06,1,2.93083763987659e-10,1,-14.41868229005478,1,-2.143936911865554e-13,1,845751.7036398642,1,1.424565780163359e-10
1.043729,-0.4037399008319063,1.043729,-3.056632565066359e-06,1.043729,2.930837639448366e-10,1.043729,-14.41868228922025,1.043729,-2.143936911458825e-13,1.043729,810317.2649395779,1.043729,1.42456577988125e-10
1.08937,-0.403739900812576,1.08937,-3.190296333631177e-06,1.08937,2.930837639038071e-10,1.08937,-14.41868228842067,1.08937,-2.143936911070069e-13,1.08937,776367.4220661743,1.08937,1.424565779610954e-10
1.137008,-0.403739900794055,1.137008,-3.329805097487312e-06,1.137008,2.930837638644953e-10,1.137008,-14.41868228765455,1.137008,-2.143936910698155e-13,1.137008,743839.9749435977,1.137008,1.424565779351974e-10
1.186728,-0.4037399007763112,1.186728,-3.4754144529741e-06,1.186728,2.930837638268339e-10,1.186728,-14.4186822869206,1.186728,-2.143936910341404e-13,1.186728,712675.3294909366,1.186728,1.424565779103865e-10
1.238622,-0.4037399007593095,1.238622,-3.627391173426976e-06,1.238622,2.930837637907472e-10,1.238622,-14.41868228621733,1.238622,-2.143936909999748e-13,1.238622,682816.3884390733,1.238622,1.42456577886613e-10
1.292786,-0.4037399007430218,1.292786,-3.786013697937017e-06,1.292786,2.930837637561774e-10,1.292786,-14.41868228554362,1.292786,-2.143936909672239e-13,1.292786,654208.4467218707,1.292786,1.424565778638387e-10
1.349319,-0.4037399007274159,1.349319,-3.951572641484267e-06,1.349319,2.930837637230548e-10,1.349319,-14.41868228489813,1.349319,-2.143936909357982e-13,1.349319,626799.0912500351,1.349319,1.424565778420179e-10
1.408323,-0.4037399007124625,1.408323,-4.124371327378076e-06,1.408323,2.930837636913136e-10,1.408323,-14.41868228427956,1.408323,-2.143936909057263e-13,1.408323,600538.1048842516,1.408323,1.424565778211074e-10
1.469908,-0.4037399006981356,1.469908,-4.304726342980633e-06,1.469908,2.930837636609041e-10,1.469908,-14.41868228368692,1.469908,-2.143936908769848e-13,1.469908,575377.3744315366,1.469908,1.42456577801074e-10
1.534186,-0.4037399006844117,1.534186,-4.492968119732129e-06,1.534186,2.930837636317772e-10,1.534186,-14.41868228311929,1.534186,-2.14393690849359e-13,1.534186,551270.8024962193,1.534186,1.424565777818855e-10
1.601274,-0.403739900671261,1.601274,-4.689441538540161e-06,1.601274,2.930837636038641e-10,1.601274,-14.41868228257532,1.601274,-2.143936908230131e-13,1.601274,528174.2230240887,1.601274,1.424565777634966e-10
1.671296,-0.4037399006586614,1.671296,-4.894506561641002e-06,1.671296,2.930837635771218e-10,1.671296,-14.41868228205416,1.671296,-2.143936907976224e-13,1.671296,506045.3203851074,1.671296,1.42456577745879e-10
1.744381,-0.4037399006465884,1.744381,-5.108538892093144e-06,1.744381,2.930837635514945e-10,1.744381,-14.41868228155473,1.744381,-2.143936907733383e-13,1.744381,484843.5518461618,1.744381,1.424565777289963e-10
1.820661,-0.4037399006350228,1.820661,-5.331930662108365e-06,1.820661,2.930837635269475e-10,1.820661,-14.41868228107635,1.820661,-2.143936907501263e-13,1.820661,464530.0732921102,1.820661,1.42456577712825e-10
1.900277,-0.4037399006239416,1.900277,-5.5650911514847e-06,1.900277,2.930837635034268e-10,1.900277,-14.41868228061799,1.900277,-2.14393690727829e-13,1.900277,445067.6680587408,1.900277,1.4245657769733e-10
1.983374,-0.4037399006133239,1.983374,-5.808447537454132e-06,1.983374,2.930837634808903e-10,1.983374,-14.41868228017879,1.983374,-2.143936907065172e-13,1.983374,426420.6787475568,1.983374,1.424565776824831e-10
