kgds X,kgds Y,kcgd X,kcgd Y,kcgs X,kcgs Y,rds X,rds Y,vd X,vd Y,kgmp X,kgmp Y,ids X,ids Y,kcds X,kcds Y
100,-0.1020996032499427,100,5.988791504356573e-12,100,3.168493534659452e-11,100,2775.997808490057,100,-7.456078454894999,100,-5.951681985164286,100,-0.003528229498134137,100,-1.39833012506926e-16
106.0818,-0.1026014735597636,106.0818,6.061847073043765e-12,106.0818,3.202133195743387e-11,106.0818,2632.640145279827,106.0818,-7.335783951610567,106.0818,-5.977344565895647,106.0818,-0.003702157596879344,106.0818,-1.449593078844763e-16
112.5336,-0.1031558499963143,112.5336,6.143051562420437e-12,112.5336,3.239397583677883e-11,112.5336,2498.090611327142,112.5336,-7.205078337214526,112.5336,-6.00552081524702,112.5336,-0.003880591703808063,112.5336,-1.50823714575343e-16
119.3777,-0.1037307873251205,119.3777,6.227820373048267e-12,119.3777,3.278153054621456e-11,119.3777,2370.817317576363,119.3777,-7.071645452971512,119.3777,-6.034543120029891,119.3777,-0.004066251484951308,119.3777,-1.571390859171779e-16
126.638,-0.1043376976803555,126.638,6.317903223523027e-12,126.638,3.319176808685905e-11,126.638,2250.684667700095,126.638,-6.933135485175576,126.638,-6.064958933308613,126.638,-0.004258376909413995,126.638,-1.640718331419646e-16
134.3399,-0.1049800317071248,134.3399,6.413902446344e-12,134.3399,3.362712236194586e-11,134.3399,2137.316216368846,134.3399,-6.789101746155443,134.3399,-6.096900430750976,134.3399,-0.004456814100969096,134.3399,-1.717177277794512e-16
142.5103,-0.1056597873907976,142.5103,6.51621642278988e-12,142.5103,3.408904146107366e-11,142.5103,2030.31283198654,142.5103,-6.639473285903591,142.5103,-6.130419621561162,142.5103,-0.004661517383171969,142.5103,-1.801677007399405e-16
151.1775,-0.1063786355255544,151.1775,6.625203033495563e-12,151.1775,3.457873556546215e-11,151.1775,1929.287876322752,151.1775,-6.48429220658577,151.1775,-6.165545410559258,151.1775,-0.004872462993209453,151.1775,-1.895208375381896e-16
160.3719,-0.1071384018113023,160.3719,6.741251235467637e-12,160.3719,3.509749576841743e-11,160.3719,1833.878381791762,160.3719,-6.323609371941717,160.3719,-6.202306964491604,160.3719,-0.005089607659388793,160.3719,-1.998919966351854e-16
170.1254,-0.1079197626064526,170.1254,6.861489008624441e-12,170.1254,3.563207714741553e-11,170.1254,1743.345408394284,170.1254,-6.161773677937526,170.1254,-6.23971302078268,170.1254,-0.005315150624998431,170.1254,-2.111031121753871e-16
