kcgd_n X,kcgd_n Y,kgds_n X,kgds_n Y,vs X,vs Y,gmn X,gmn Y,kcgs_n X,kcgs_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y
1e-09,-1.051987520583572e-06,1e-09,0.5348710680499748,1e-09,1.332281828308531,1e-09,1.608002742825888e-08,1e-09,-1.205811362409238e-06,1e-09,2957926587.277641,1e-09,25.4403617899507,1e-09,6.320675610285825e-10
1.149757e-09,-9.155019229645313e-07,1.149757e-09,0.530710255287598,1.149757e-09,1.328639013290689,1.149757e-09,1.844514310204343e-08,1.149757e-09,-1.051124362828515e-06,1.149757e-09,2594341474.713868,1.149757e-09,25.39607771713635,1.149757e-09,7.262988918008121e-10
1.321941e-09,-7.955492737602616e-07,1.321941e-09,0.5265355221017662,1.321941e-09,1.324951562193593,1.321941e-09,2.11881015145104e-08,1.321941e-09,-9.149667435570162e-07,1.321941e-09,2272292239.694409,1.321941e-09,25.35034685817337,1.321941e-09,8.358111087414573e-10
1.519911e-09,-6.930234808521928e-07,1.519911e-09,0.5224628780755728,1.519911e-09,1.321322954480338,1.519911e-09,2.427863468237237e-08,1.519911e-09,-7.984113229799964e-07,1.519911e-09,1994879627.442265,1.519911e-09,25.30442038901602,1.519911e-09,9.594621931317221e-10
1.747528e-09,-6.035355446889975e-07,1.747528e-09,0.5184091818928168,1.747528e-09,1.317680511899607,1.747528e-09,2.782668548311514e-08,1.747528e-09,-6.965217719843036e-07,1.747528e-09,1750869318.839745,1.747528e-09,25.25735665205939,1.747528e-09,1.101725959151242e-09
2.009233e-09,-5.255426597464571e-07,2.009233e-09,0.5143787353904086,2.009233e-09,1.314028606675728,2.009233e-09,3.189536064201044e-08,2.009233e-09,-6.075829914618163e-07,2.009233e-09,1536554209.832952,2.009233e-09,25.20916206773639,2.009233e-09,1.265228909882383e-09
2.31013e-09,-4.576256234407897e-07,2.31013e-09,0.5103737657811811,2.31013e-09,1.310369853319192,2.31013e-09,3.655737286540532e-08,2.31013e-09,-5.300135589668898e-07,2.31013e-09,1348479144.988303,2.31013e-09,25.15982147880896,2.31013e-09,1.453006051580931e-09
2.656088e-09,-3.985078336054235e-07,2.656088e-09,0.5063950946879147,2.656088e-09,1.306705648112748,2.656088e-09,4.189635732282841e-08,2.656088e-09,-4.623881031236697e-07,2.656088e-09,1183501765.565594,2.656088e-09,25.10930344646649,2.656088e-09,1.668559122404659e-09
3.053856e-09,-3.470579821284354e-07,3.053856e-09,0.502442683708625,3.053856e-09,1.303036624509601,3.053856e-09,4.800826725240606e-08,3.053856e-09,-4.034412460758951e-07,3.053856e-09,1038810448.052707,3.053856e-09,25.05756508255973,3.053856e-09,1.915919088476007e-09
3.511192e-09,-3.017461437348191e-07,3.511192e-09,0.4984656538611658,3.511192e-09,1.2993156784586,3.511192e-09,5.509921417181671e-08,3.511192e-09,-3.514438674718297e-07,3.511192e-09,910387953.7628857,3.511192e-09,25.00386507127838,3.511192e-09,2.203627879719623e-09
